conference,year,title,official_event_id,selection_flag,reason,official_source_url
ICML,2026,"Position: VLM Causal Reasoning Benchmarks Should Probe Temporal Understanding, Not Presume It",67168,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Anthropomorphic Misalignment Research Needs Stronger Evidence,67238,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: AI/ML Deepfake Research is Misaligned with AI Generated Non-Consensual Intimate Imagery (AIG-NCII),67084,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Temporal Measurement Interval Determines Computational and Model Complexity in Single-Cell Perturbation Analysis,67090,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Graph Condensation Needs a Reset—Move Beyond Full-dataset Training and Model-Dependence,67213,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: EU AI Act's Research Exemptions Can Break the Publication Norms of Major AI Conferences,67150,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Preregister Experiments with AI Agents,67108,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: The AI Imperative: Scaling High-Quality Peer Review in Machine Learning,67249,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: AI Lock-In Is in Progress, and We Must Be Prepared",67087,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,"Position: Deciphering the Functions of DNAs, RNAs, and Proteins Should Consider Multi-Modal Large Language Models",67235,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Stop Chasing the C-index when Evaluating Survival Analysis Models,67098,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Sustainable Open-Source AI Requires Tracking the Cumulative Footprint of Derivatives,67171,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Ideas Should be the Center of Machine Learning Research,67144,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Machine Learning for Heart Transplant Allocation Policy Optimization Should Account for Incentives,67226,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Genomic Model Research Must Move Beyond Anecdotal Evaluation of Interpretability Methods,67163,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Irresponsible AI: big tech’s influence on AI research and associated impacts,67085,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Assistive Agents Need Accessibility Alignment,67129,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
ICML,2026,Position: Responsible AI for AI companions must actively combat violence toward intimate partners,67065,spotlight,position_paper_track,https://icml.cc/virtual/2026/events/2026SpotlightPosters
