paper_id,repository,source_path,suffix,tools,hex_colors,figsizes_inches,font_sizes_pt,line_widths_pt,alpha_values,marker_literals,style_literals,dpi_values,uses_grid,uses_legend,uses_errorbar,uses_fill_between,uses_log_axis,uses_booktabs,uses_resizebox,uses_small_font,export_formats
iclr-2026-05937b7dc737,ZhouYuxuanYX/Hierarchical-Speculative-Decoding,chain-of-thought-hub/notebooks/visualization.ipynb,.ipynb,matplotlib,#1f77b4,5x4,,,,,--,200,0,1,0,0,0,0,0,0,
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,generate_entropy_data.py,.py,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,plot_results.py,.py,matplotlib|seaborn|pandas,#1f77b4|#2ca02c|#9467bd|#d62728|#ff7f0e,12x7|12x6,14|16|12|18,2|0.5|2.5,0.8|0.3|0.9,o,whitegrid|--,300,1,1,0,0,0,0,0,0,
iclr-2026-09d94b8d6d44,xzyu02/2952x-25fall-final-project,webb_dataset_2025/entropy/dataset_generation.py,.py,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_perturbed_100B/src_config.yml,.yml,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,experiments/20250421_dgx_dclm_ablation_runs/llama32_1B_lr6en4_standard_100B/src_config.yml,.yml,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,plotting_data/copyright_checkpoints.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,plotting_data/copyright_paraphrases.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,plotting_data/copyright_passages.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,plotting_data/privacy.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0c8eb54755cf,allegro-lab/hubble,plotting_data/testset.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/dpg_bench/metadata.json,.json,plotly|pandas,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/geneval/annotations/annotations_clip.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/geneval/annotations/annotations_if-xl.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/geneval/annotations/annotations_sdv2.csv,.csv,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/geneval/environment.yml,.yml,matplotlib|pandas,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-0e6979a1fd18,NVlabs/Sana,tools/metrics/image_reward/benchmark-prompts-dict.json,.json,,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-159f6b7208d5,MarkDana/Equiv-LiNG-Latent,equivalence_class_searcher/app.py,.py,graphviz,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-159f6b7208d5,MarkDana/Equiv-LiNG-Latent,equivalence_class_searcher/core_logic/my_utils.py,.py,graphviz,,,,,,,,,0,0,0,0,0,0,0,0,
iclr-2026-198f06993051,ttsds/pipeline,scripts/figures/analyze_speaker_similarity.py,.py,matplotlib|seaborn|pandas,,12x8|15x8,14|12|8,2,0.7|0.3,,--,,1,1,1,0,0,0,0,0,
iclr-2026-198f06993051,ttsds/pipeline,scripts/figures/create_figures.py,.py,matplotlib|seaborn|pandas,#1f77b4|#2ca02c|#d62728|#ff7f0e,20x10|12x8|15x15,16|12|10|8|14,,0.3|0.7,,round,,1,1,0,0,0,0,0,0,
iclr-2026-198f06993051,ttsds/pipeline,scripts/figures/create_flower.py,.py,matplotlib|pandas,,6x6,3.5,,1|1.0,,,300|800,0,0,0,0,0,0,0,0,
